Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
IMG_20211106_120700 (Custom).jpg,Bacterial Canker,410.0424172794118,619.5667820069204,333.4952971813726,544.3092041522493,0.12621666131210893,0.10915714265605034,0.1240020810453196,0.10744443224829225,12.508471200980392,15.060330642060748,11.967907475490197,14.576885813148794,8.579252500292483,8.704448112652262,8.57334611133484,8.711173148892913,0.00046290953862396683,0.00040965996427896233,0.00045006012467410384,0.000396237391911933,0.02151533264032808,0.020240058406016576,0.021214620540422207,0.019905712544692616,0.901919895609233,0.8522231893503365,0.9202331772119882,0.870174237473255
IMG_20211106_120807 (Custom).jpg,Bacterial Canker,445.62610294117655,606.9204459823145,301.3729779411765,583.9172164552097,0.12993483605919567,0.11461164818516209,0.13018931766577255,0.10933946575766046,12.714185049019612,14.765336409073434,11.518780637254903,14.71844675124952,8.517592343399983,8.628966534528399,8.493917143287252,8.646706917208652,0.0005129012269544768,0.0004592719713723214,0.000505747958267253,0.0004378735236395785,0.022647322732598587,0.02143063161393806,0.022488840749741924,0.0209254276811629,0.893732715282331,0.8556209518079162,0.9281050777367446,0.8610939193751608
IMG_20211106_120811 (Custom).jpg,Bacterial Canker,429.89322916666674,691.5845444059977,380.88036151960796,626.9579853902346,0.1228092902585397,0.10425584164631924,0.12066060014939815,0.10008550060679296,12.77904411764706,16.048212226066898,12.652665441176472,15.609611687812382,8.646426684377708,8.799864827617501,8.662332724905012,8.801944280862454,0.0004459670615718716,0.0003944409042687719,0.0004289467946147517,0.00037716070815929935,0.021117932227655994,0.019860536354005445,0.020711030747279376,0.019420625843656517,0.9050095585134396,0.8476262276876676,0.9158568194694233,0.8618639222203347
IMG_20211106_120815 (Custom).jpg,Bacterial Canker,322.2663296568627,602.0755863129566,378.7340839460785,525.9033141099576,0.13354194241488399,0.11317254588055913,0.12753145451257109,0.10760169213817122,11.583394607843138,14.933071895424838,12.27305453431373,14.43264898116109,8.488083721889836,8.641382899038476,8.520139468312554,8.647936933691938,0.0005262826159109477,0.0004683263069345611,0.0005087047959693989,0.0004458782525456374,0.02294085037462534,0.021640848110334333,0.0225544850521886,0.02111582943068156,0.9237664367202383,0.8580249318937843,0.9104829322533219,0.8759870345445389
IMG_20211106_120823 (Custom).jpg,Bacterial Canker,268.2417738970588,550.6923029604,392.84446997549026,513.6260822760478,0.1308921200089348,0.11252485367093368,0.12676524921267465,0.10543730694153308,11.172686887254901,14.558200692041524,12.339506740196079,14.521584006151482,8.456680508664112,8.618522544061019,8.503346754589936,8.642591632709715,0.0004681759034611087,0.0004127260076973323,0.0004525327407502523,0.0003911708757803353,0.02163737284101535,0.020315659174571035,0.021272816944407066,0.019778040241144604,0.918112005121212,0.8322934550300363,0.880200406326451,0.8435815457417131
IMG_20211106_120833 (Custom).jpg,Bacterial Canker,322.3028186274511,472.9967858515956,322.3878523284314,553.5293194925029,0.13500369742720086,0.11446441259171813,0.13214477757640047,0.1087033542334706,11.630392156862747,13.699038831218763,11.66079963235294,14.815132641291807,8.424485174781385,8.549591206503417,8.434683766915903,8.60373205299078,0.0005139610704116207,0.0004510047225500026,0.000498740882976199,0.00042836060598938576,0.022670709525985742,0.021236871769401505,0.0223325073150374,0.020696874304816797,0.9000611510230021,0.8536277955815915,0.9000858584753141,0.8287013458232768
IMG_20211106_120839 (Custom).jpg,Bacterial Canker,479.7768075980392,666.3844828911958,354.1598192401961,702.2666666666667,0.11853749246422166,0.10361266137498717,0.12066912690438797,0.09498854787770446,13.39623161764706,15.705113417916186,12.297594975490195,16.400246059207994,8.778503011550827,8.891092417475065,8.745948842481857,8.935437728371227,0.000358433354959631,0.00032546970888226387,0.0003575559599222655,0.0003028232272773564,0.01893233622561228,0.018040779054194524,0.018909150163935594,0.017401816780938606,0.8880111684189085,0.8448552185553155,0.9173662818971077,0.8364979924837825
IMG_20211106_120844 (Custom).jpg,Bacterial Canker,479.4185049019608,687.6025682429836,339.19172794117645,655.968089196463,0.11753331849200269,0.10240342186399126,0.12294531123650602,0.10006339940289137,13.45842524509804,15.986635909265669,12.151531862745099,15.843029603998465,8.765551461754299,8.89208699259777,8.72200499494808,8.905387289851525,0.0003716095334426663,0.000327513934914868,0.0003826756460856402,0.00031320565346099847,0.019277176490416492,0.01809734607379955,0.019562097180150194,0.017697617169014548,0.885251498566818,0.8358387374662013,0.9188224908785633,0.8433886388854871
IMG_20211106_120850 (Custom).jpg,Bacterial Canker,514.1784926470589,846.4919492502883,474.3860753676471,791.1520184544407,0.12276581807197602,0.09653923466015359,0.1133711035074008,0.09689841843487838,13.565349264705883,17.403783160322952,13.541835171568628,16.86631295655517,8.743644272777788,8.914039333588956,8.76772820044961,8.90719710031352,0.0003887161554074755,0.00033050701671687193,0.00036561724682213575,0.00032381961748069275,0.019715885864131887,0.018179851944305596,0.019121120438461123,0.01799498867687037,0.8818216221887476,0.8059730411921615,0.8910560013634339,0.8186531436211428
IMG_20211106_120857 (Custom).jpg,Bacterial Canker,321.978293504902,643.9902191464821,422.7330269607843,552.4607151095732,0.13542619987696927,0.11353745356098717,0.1297297246595449,0.11017579273278896,11.6272824754902,15.23534025374856,12.624938725490196,14.770872741253367,8.463982438223857,8.644476893572929,8.502642755244468,8.64291527050514,0.0004771123561250482,0.0004125766551503791,0.00046244866570249423,0.00040112688447837695,0.021842901733172913,0.020311983043277165,0.021504619636312897,0.020028152298162127,0.8979058243377257,0.7960345210365597,0.866033234845014,0.8250181716732339
